"Ticker","Nome","Negócios","Última (R$)","Variação"
"AGXY3","AgroGalaxy","214.200","0,40","-2,44%"
"PFRM3","Profarma","213.500","7,05","-1,40%"
"BIOM3","Biomm","209.600","9,25","-3,34%"
"FRAS3","Fras-le","206.600","20,73","-0,24%"
"POMO3","Marcopolo","200.300","7,06","+0,86%"
"ATOM3","ATOM","195.400","3,93","+18,02%"
"ELMD3","Eletromidia","193.300","27,51","+0,04%"
"MBLY3","Mobly","180.100","2,09","+0,00%"
"PNVL3","Dimed","155.700","9,75","-1,02%"
"ETER3","Eternit","151.200","5,15","+0,19%"
"KLBN3","Klabin","147.600","4,12","-0,72%"
"TAEE4","Taesa","141.000","11,33","-0,35%"
"ROMI3","Indústrias ROMI","139.300","9,54","+0,32%"
"DEXP3","Dexxos","133.400","8,21","-1,08%"
"BMOB3","Bemobi","117.800","14,25","-0,28%"
"RNEW4","Renova Energia","117.000","0,99","+1,02%"
"LPSB3","Lopes","116.300","1,64","+1,86%"
"VTRU3","VITRUBREPCOM","108.500","8,00","-2,91%"
"LVTC3","WDC Networks","102.700","3,40","-1,73%"
"WEST3","Westwing","98.000","0,70","-1,41%"
"ITSA3","Itaúsa","97.800","10,49","-0,66%"
"PMAM3","Paranapanema","97.300","1,08","-0,92%"
"ALPK3","Estapar","95.900","2,77","+0,00%"
"RNEW3","Renova Energia","95.500","0,99","-1,00%"
"TECN3","Technos","89.300","5,60","+1,63%"
"BRAP3","Bradespar","82.400","16,66","+0,00%"
"VIVR3","Viver","79.000","1,31","+0,77%"
"GGBR3","Gerdau","74.700","19,26","+2,72%"
"IGTI3","Jereissati Participações","72.200","2,41","+2,12%"
"IGTI3","Iguatemi","72.200","2,41","+2,12%"
"TAEE3","Taesa","70.000","11,29","-0,44%"
"LOGN3","Log-In","65.500","23,61","+0,43%"
"CAMB3","Cambuci","65.500","11,59","+2,39%"
"TPIS3","Triunfo","63.500","6,49","-6,89%"
"TCSA3","Tecnisa","60.700","1,35","-3,57%"
"PDTC3","Padtec","58.600","1,57","+3,29%"
"DMVF3","D1000 Varejo Farma","53.000","6,64","+0,45%"
"ALLD3","Allied","48.800","8,42","+0,00%"
"UCAS3","Unicasa","46.800","2,15","-0,46%"
"DESK3","Desktop","44.400","13,54","-1,53%"
"GOAU3","Metalúrgica Gerdau","42.900","10,51","-0,76%"
"VSTE3","LE LIS BLANC","34.700","9,50","-4,04%"
"EUCA4","Eucatex","31.500","14,00","+0,29%"
"NGRD3","Neogrid","31.100","27,46","-1,93%"
"SCAR3","São Carlos","29.000","20,21","-2,23%"
"HOOT4","Hotéis Othon","28.500","2,60","+14,04%"
"RAPT3","Randon","27.600","9,35","-1,58%"
"UNIP3","Unipar","22.800","48,62","+6,02%"
"INEP3","Inepar","21.700","1,38","-4,17%"
"BRKM3","Braskem","21.600","15,20","-0,98%"
"CSUD3","CSU Cardsystem","20.900","15,90","+1,53%"
"NEXP3","Brasil Brokers","20.700","3,54","-14,08%"
"BMEB4","Banco Mercantil do Brasil","20.400","37,37","-3,69%"
"HAGA4","Haga","20.000","1,34","+2,29%"
"EQPA3","Equatorial Energia Pará","19.800","5,51","-3,50%"
"ALUP4","Alupar","19.500","9,42","+1,07%"
"EALT4","Electro Aço Altona","19.100","14,49","-0,55%"
"LAND3","Terra Santa","19.000","11,35","-1,30%"
"NINJ3","GetNinjas","17.900","4,51","-3,84%"
"KRSA3","Kora Saúde","16.900","6,40","+0,00%"
"OIBR4","Oi","15.900","8,95","-1,97%"
"AALR3","Alliança","15.600","14,20","-4,38%"
"TASA3","Taurus","14.400","9,49","-2,57%"
"RSID3","Rossi Residencial","13.600","3,20","+1,27%"
"HAGA3","Haga","11.900","2,44","-0,41%"
"EPAR3","Embpar Participações","11.000","5,26","-4,01%"
"WHRL4","Whirlpool","10.800","4,27","+2,40%"
"ALPA3","Alpargatas","10.600","6,01","-1,48%"
"INEP4","Inepar","10.100","1,31","-2,96%"
"DOTZ3","Dotz","9.600","5,09","-0,78%"
"BPAC3","Banco BTG Pactual","8.900","16,70","+4,31%"
"BPAC5","Banco BTG Pactual","8.100","8,70","-0,11%"
"RDNI3","RNI","7.600","2,78","+1,83%"
"BEES3","Banestes","6.800","8,45","+0,60%"
"ALUP3","Alupar","6.300","9,77","+0,00%"
"AVLL3","Alphaville","6.300","2,83","-0,35%"
"MNPR3","Minupar","6.000","20,51","+2,29%"
"CGRA4","Grazziotin","5.600","25,45","+0,32%"
"CEEB3","COELBA","5.200","38,17","-2,75%"
"PTNT4","Pettenati","5.100","6,32","-1,71%"
"ATMP3","Atma","5.100","1,33","+3,10%"
"BRSR3","Banrisul","5.000","11,80","+0,00%"
"ENGI4","Energisa","4.900","7,21","+0,42%"
"FRIO3","Metalfrio","4.800","160,00","+0,00%"
"AZEV11","Azevedo & Travassos","4.400","0,24","+0,00%"
"CEBR3","CEB","4.000","18,40","-3,11%"
"RPMG3","Refinaria de Manguinhos","3.800","2,49","-0,80%"
"CLSC4","Celesc","3.700","82,50","+2,48%"
"OSXB3","OSX Brasil","3.700","4,50","-4,86%"
"COCE5","Coelce","3.600","26,55","+0,53%"
"CEBR6","CEB","3.600","18,13","+0,06%"
"BGIP4","Banese","3.200","23,25","-3,12%"
"NUTR3","Nutriplant","3.200","3,30","-1,49%"
"DOHL4","Döhler","3.100","4,00","+0,25%"
"AMAR11","Lojas Marisa","3.000","0,24","+9,09%"
"TELB4","Telebras","2.900","7,90","+2,60%"
"FHER3","Fertilizantes Heringer","2.900","3,56","-0,84%"
"CEBR5","CEB","2.700","16,85","+0,30%"
"EUCA3","Eucatex","2.600","16,00","+0,00%"
"RNEW11","Renova Energia","2.500","2,94","-0,68%"
"ENGI3","Energisa","2.300","12,59","+2,27%"
"DEXP4","Dexxos","2.300","8,11","+0,37%"
"BAHI3","Bahema","2.300","4,80","+0,00%"
"MTSA4","Metisa","2.100","33,55","+0,24%"
"REDE3","Rede Energia","2.100","6,71","-0,30%"
"CRPG5","Tronox Pigmentos","2.000","24,50","-1,21%"
"MRSA3B","MRS Logística","1.800","28,00","-6,67%"
"PINE3","Banco Pine","1.800","4,39","-6,20%"
"BEES4","Banestes","1.500","8,58","+0,35%"
"RPAD5","Alfa Holdings","1.500","8,20","+9,77%"
"TRPL3","Transmissão Paulista","1.300","30,75","-0,52%"
"CTSA3","Santanense","1.300","1,92","-2,04%"
"UNIP5","Unipar","1.200","50,00","+2,06%"
"WLMM4","WLM","1.200","29,80","+0,00%"
"CTKA3","Karsten","1.200","19,90","+7,57%"
"WHRL3","Whirlpool","1.200","4,07","+0,74%"
"RSUL4","Metalúrgica Riosulense","1.100","60,00","-0,83%"
"BGIP3","Banese","1.100","26,00","+3,75%"
"CGRA3","Grazziotin","1.100","25,06","+0,97%"
"EQMA3B","Equatorial Maranhão","1.100","23,99","+2,30%"
"EALT3","Electro Aço Altona","1.100","15,54","+0,00%"
"SNSY5","Sansuy","900","4,73","+4,65%"
"PEAB3","Participações Aliança da Bahia","800","41,01","-3,39%"
